,VOLUME,VWAP,IMS,TRADES,CONC,TAM_VOLUME,TAM_VWAP,TAM_IMS,TAM_TRADES,TAM_CONC,HFA_VOLUME,HFA_VWAP,HFA_IMS,HFA_TRADES,HFA_CONC,RTW_VOLUME,RTW_VWAP,RTW_IMS,RTW_TRADES,RTW_CONC,B,S,E,F
13792,6000,854.53,3,3,0.52,6000.0,854.53,3.0,3.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13794,171875,278.67,4,9,0.42,171875.0,278.67,4.0,9.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13795,5571,14.42,3,3,0.91,5571.0,14.42,3.0,3.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13796,177425,238.84,4,4,0.32,177425.0,238.84,4.0,4.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13797,117399,71.08,16,22,0.58,110800.0,71.09,11.0,16.0,0.65,6599.0,70.85,5.0,6.0,0.83,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13798,2580000,155.79,3,3,0.49,2580000.0,155.79,3.0,3.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13799,30809,60.46,10,13,0.51,30809.0,60.46,10.0,13.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13800,2826,3.25,3,3,0.58,2826.0,3.25,3.0,3.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13801,412857,102.29,23,57,0.33,200573.0,102.34,14.0,27.0,0.67,196698.0,102.2,4.0,10.0,0.77,15586.0,102.79,5.0,20.0,0.66,0,1,1,0
13802,155738,39.55,12,14,0.45,155738.0,39.55,12.0,14.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13803,400684,43.97,25,45,0.38,378584.0,43.99,19.0,30.0,0.43,22100.0,43.55,6.0,15.0,0.66,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13804,56767,15.28,12,16,0.22,20957.0,15.3,8.0,9.0,0.44,35810.0,15.27,4.0,7.0,0.4,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13805,69480,7.6,5,6,0.51,69480.0,7.6,5.0,6.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13806,1122749,5.31,5,57,0.82,0.0,0.0,0.0,0.0,0.0,1122749.0,5.31,5.0,57.0,0.82,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13808,930,130330.2,6,6,0.77,930.0,130330.2,6.0,6.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13809,143135,49.56,20,37,0.17,86980.0,49.49,14.0,16.0,0.24,56155.0,49.66,6.0,21.0,0.54,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13810,4824400,0.29,3,3,0.48,4824400.0,0.29,3.0,3.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13811,14272300,126.22,6,9,0.46,14272300.0,126.22,6.0,9.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13812,2119,302.04,4,12,0.42,2119.0,302.04,4.0,12.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13814,1099000,103.14,3,4,0.46,1099000.0,103.14,3.0,4.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13815,54282,41.08,22,45,0.27,43638.0,41.14,17.0,24.0,0.36,10644.0,40.83,5.0,21.0,0.96,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13816,20337,43.64,24,37,0.42,5497.0,43.75,16.0,21.0,0.21,14840.0,43.6,8.0,16.0,0.76,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13817,1846963,9.66,51,79,0.09,1689855.0,9.65,43.0,68.0,0.11,129726.0,9.7,5.0,6.0,0.38,27382.0,10.14,3.0,5.0,0.4,0,1,1,0
13818,168064,4.02,4,5,0.55,168064.0,4.02,4.0,5.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13819,390531,664.42,13,16,0.2,275031.0,664.84,9.0,11.0,0.32,115500.0,663.4,4.0,5.0,0.48,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13820,18995,20.86,5,6,0.59,18995.0,20.86,5.0,6.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13821,308974,15.36,10,17,0.23,308974.0,15.36,10.0,17.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13822,3680,17.44,7,12,0.25,1913.0,17.46,4.0,4.0,0.58,1767.0,17.42,3.0,8.0,0.43,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13823,72881,6.59,3,5,0.66,72881.0,6.59,3.0,5.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13824,655382,41.52,9,13,0.32,655382.0,41.52,9.0,13.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13825,1365000,94.51,3,3,0.58,1365000.0,94.51,3.0,3.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
13826,215100,87.89,3,3,0.98,215100.0,87.89,3.0,3.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13827,941900,2504.6,5,6,0.95,941900.0,2504.6,5.0,6.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13828,21639,8.65,3,5,0.42,21639.0,8.65,3.0,5.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13829,14810000,99.57,5,5,0.42,14810000.0,99.57,5.0,5.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
13830,915252,55.68,46,79,0.2,834952.0,55.75,34.0,65.0,0.24,79000.0,54.98,8.0,10.0,0.48,1300.0,55.95,4.0,4.0,0.58,1,0,1,0
13831,102379,19.78,9,25,0.34,32459.0,19.74,6.0,13.0,0.68,69920.0,19.8,3.0,12.0,0.59,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13833,385750000,114.18,3,3,0.63,385750000.0,114.18,3.0,3.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13834,5169013,5.05,24,37,0.2,5169013.0,5.05,24.0,37.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13835,830000,124.62,9,9,0.84,830000.0,124.62,9.0,9.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13836,19400,1616.79,4,5,0.4,19400.0,1616.79,4.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13837,43784000,103.97,4,7,0.77,43784000.0,103.97,4.0,7.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
